,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC
4471,2018667882,2018667882540100,5401,0,traffic-accident-hit-and-run,traffic-accident,9/28/2018 9:05:00 PM,,9/28/2018 9:08:00 PM,14TH ST / BLAKE ST,3140014.0,1697967.0,-105.0020591,39.7486708,6,612,auraria,0,1
4472,2018399512,2018399512570700,5707,0,criminal-trespassing,all-other-crimes,6/13/2018 10:39:00 AM,6/13/2018 10:44:00 AM,6/14/2018 12:23:00 PM,855 CURTIS ST,3139253.0,1695511.0,-105.00481299999998,39.7419401,1,123,auraria,1,0
4473,2018625078,2018625078544100,5441,0,traffic-accident,traffic-accident,9/12/2018 8:24:00 AM,,9/12/2018 8:24:00 AM,N SPEER BLVD / AURARIA PKWY,3139895.0,1697596.0,-105.0024895,39.7476542,1,123,auraria,0,1
4474,2017843803,2017843803544100,5441,0,traffic-accident,traffic-accident,12/18/2017 5:34:00 PM,,12/18/2017 7:20:00 PM,AURARIA PKWY / 11TH ST,3139100.0,1697556.0,-105.0053175,39.7475563,1,123,auraria,0,1
4475,20176011891,20176011891239900,2399,0,theft-other,larceny,12/1/2017 4:30:00 PM,12/1/2017 5:00:00 PM,12/18/2017 1:53:00 PM,1201 LARIMER ST,3139956.0,1697085.0,-105.0022825,39.7462505,1,123,auraria,1,0
4476,2018458367,2018458367540100,5401,0,traffic-accident-hit-and-run,traffic-accident,7/7/2018 12:33:00 PM,,7/7/2018 12:58:00 PM,2000 ELITCH CIR,3137087.0,1698042.0,-105.0124669,39.7489203,1,123,auraria,0,1
4477,2018457607,2018457607739902,7399,2,public-order-crimes-other,all-other-crimes,7/7/2018 2:18:00 AM,,7/7/2018 2:58:00 AM,N SPEER BLVD / CHOPPER CIR,3139226.0,1698497.0,-105.0048512,39.7501376,1,123,auraria,1,0
4478,2018623834,2018623834239900,2399,0,theft-other,larceny,9/11/2018 2:52:00 PM,,9/11/2018 4:41:00 PM,1200 LARIMER ST,3140028.0,1696884.0,-105.0020304,39.7456976,1,123,auraria,1,0
4479,2017806747,2017806747549900,5499,0,traf-other,all-other-crimes,12/2/2017 8:51:00 PM,,12/2/2017 11:10:00 PM,N SPEER BLVD / MARKET ST,3139895.0,1697596.0,-105.0024895,39.7476542,1,123,auraria,1,0
4480,2018583539,2018583539544100,5441,0,traffic-accident,traffic-accident,8/26/2018 5:50:00 PM,,8/26/2018 6:15:00 PM,AURARIA PKWY / 9TH ST,3138469.0,1697153.0,-105.0075692,39.7464594,1,123,auraria,0,1
4481,2017841946,2017841946570700,5707,0,criminal-trespassing,all-other-crimes,12/17/2017 10:01:00 PM,,12/17/2017 10:01:00 PM,900 AURARIA PKWY,3138868.0,1696647.0,-105.0061601,39.7450644,1,123,auraria,1,0
4482,2018503378,2018503378230800,2308,0,theft-from-bldg,larceny,7/13/2018 3:30:00 PM,7/16/2018 7:00:00 AM,7/25/2018 9:17:00 AM,1055 10TH ST,3140042.0,1695524.0,-105.0020071,39.7419639,1,123,auraria,1,0
4483,2017812641,2017812641530900,5309,0,harassment,public-disorder,12/5/2017 10:30:00 AM,12/5/2017 11:30:00 AM,12/5/2017 11:30:00 AM,800 CURTIS ST,3139142.0,1695372.0,-105.0052104,39.7415602,1,123,auraria,1,0
4484,2017801157,2017801157239900,2399,0,theft-other,larceny,11/30/2017 11:05:00 AM,11/30/2017 11:05:00 AM,11/30/2017 11:28:00 AM,1150 10TH ST,3139497.0,1695868.0,-105.0039384,39.7429165,1,123,auraria,1,0
4485,2017798431,2017798431570700,5707,0,criminal-trespassing,all-other-crimes,11/29/2017 8:36:00 AM,,11/29/2017 8:36:00 AM,900 AURARIA PKWY,3138868.0,1696647.0,-105.0061601,39.7450644,1,123,auraria,1,0
4486,2018581916,2018581916570700,5707,0,criminal-trespassing,all-other-crimes,8/25/2018 9:00:00 PM,,8/26/2018 1:40:00 AM,501 WAZEE ST,3137208.0,1696638.0,-105.0120634,39.7450643,1,123,auraria,1,0
4487,2017841995,2017841995480300,4803,0,police-false-information,all-other-crimes,12/17/2017 10:29:00 PM,,12/17/2017 10:29:00 PM,900 AURARIA PKWY,3138868.0,1696647.0,-105.0061601,39.7450644,1,123,auraria,1,0
4488,2018460890,2018460890220300,2203,0,burglary-business-by-force,burglary,7/6/2018 4:30:00 PM,7/8/2018 11:20:00 AM,7/8/2018 11:32:00 AM,855 LAWRENCE WAY,3138989.0,1696081.0,-105.0057408,39.7435088,1,123,auraria,1,0
4489,2017813070,2017813070410400,4104,0,liquor-possession,drug-alcohol,12/5/2017 3:30:00 PM,,12/6/2017 5:19:00 PM,N SPEER BLVD / CHOPPER CIR,3139226.0,1698497.0,-105.0048512,39.7501376,1,123,auraria,1,0
